age,gender,interest,course
14,Male,web,Computer Science
14,Male,network,Computer Science
14,Male,cybersecurity,Computer Science
14,Male,data science,Computer Science
14,Male,machine learning,Computer Science
14,Male,cloud,Computer Science
14,Male,blockchain,Computer Science
14,Male,python,Computer Science
14,Male,java,Computer Science
14,Male,c++,Computer Science
14,Male,frontend,Computer Science
14,Male,backend,Computer Science
14,Male,DevOps,Computer Science
14,Male,UI/UX,Computer Science
14,Male,system,Computer Science
14,Male,database,Computer Science
14,Male,game,Computer Science
14,Male,full stack,Computer Science
14,Male,quantum,Computer Science
14,Male,painting,Fine Arts
14,Male,sculpture,Fine Arts
14,Male,digital art,Fine Arts
14,Male,graphic,Fine Arts
14,Male,photography,Fine Arts
14,Male,music,Fine Arts
14,Male,singing,Fine Arts
14,Male,instrumental,Fine Arts
14,Male,dance,Fine Arts
14,Male,theater,Fine Arts
14,Male,film,Fine Arts
14,Male,writing,Fine Arts
14,Male,animation,Fine Arts
14,Male,rap,Fine Arts
14,Male,performance,Fine Arts
14,Male,fashion,Fine Arts
14,Male,design,Fine Arts
14,Male,illustration,Fine Arts
14,Male,typography,Fine Arts
14,Male,jewelry,Fine Arts
14,Male,pottery,Fine Arts
14,Male,street art,Fine Arts
14,Male,biology,Nursing
14,Male,chemistry,Chemical Engineering
14,Male,physics,Physics
14,Male,math,Mathematics
14,Male,statistics,Mathematics
14,Male,environment,Science
14,Male,laboratory,Science
14,Male,medical,Nursing
14,Male,genetics,Nursing
14,Male,quantum mechanics,Physics
14,Male,geology,Science
14,Male,marine,Science
14,Male,molecular,Nursing
14,Male,organic,Chemical Engineering
14,Male,astrophysics,Physics
14,Male,calculus,Mathematics
14,Male,ecology,Science
14,Male,climate,Science
14,Male,neuroscience,Nursing
14,Male,biotech,Nursing
14,Male,biomedical,Nursing
14,Male,microbiology,Nursing
14,Male,cellular,Nursing
14,Male,analytical,Chemical Engineering
14,Male,theoretical,Physics
14,Male,business,Business Management
14,Male,sports,Physical Education
14,Male,law,Legal Management
14,Male,psychology,Psychology
14,Male,education,Education
14,Male,engineering,Civil Engineering
14,Female,programming,Computer Science
14,Female,software,Computer Science
14,Female,web,Computer Science
14,Female,network,Computer Science
14,Female,cybersecurity,Computer Science
14,Female,data science,Computer Science
14,Female,machine learning,Computer Science
14,Female,cloud,Computer Science
14,Female,blockchain,Computer Science
14,Female,python,Computer Science
14,Female,java,Computer Science
14,Female,c++,Computer Science
14,Female,frontend,Computer Science
14,Female,backend,Computer Science
14,Female,DevOps,Computer Science
14,Female,UI/UX,Computer Science
14,Female,system,Computer Science
14,Female,database,Computer Science
14,Female,game,Computer Science
14,Female,full stack,Computer Science
14,Female,quantum,Computer Science
14,Female,painting,Fine Arts
14,Female,sculpture,Fine Arts
14,Female,digital art,Fine Arts
14,Female,graphic,Fine Arts
14,Female,photography,Fine Arts
14,Female,music,Fine Arts
14,Female,singing,Fine Arts
14,Female,instrumental,Fine Arts
14,Female,dance,Fine Arts
14,Female,theater,Fine Arts
14,Female,film,Fine Arts
14,Female,writing,Fine Arts
14,Female,animation,Fine Arts
14,Female,rap,Fine Arts
14,Female,performance,Fine Arts
14,Female,fashion,Fine Arts
14,Female,design,Fine Arts
14,Female,illustration,Fine Arts
14,Female,typography,Fine Arts
14,Female,jewelry,Fine Arts
14,Female,pottery,Fine Arts
14,Female,street art,Fine Arts
14,Female,biology,Nursing
14,Female,chemistry,Chemical Engineering
14,Female,physics,Physics
14,Female,math,Mathematics
14,Female,statistics,Mathematics
14,Female,environment,Science
14,Female,laboratory,Science
14,Female,medical,Nursing
14,Female,genetics,Nursing
14,Female,quantum mechanics,Physics
14,Female,geology,Science
14,Female,marine,Science
14,Female,molecular,Nursing
14,Female,organic,Chemical Engineering
14,Female,astrophysics,Physics
14,Female,calculus,Mathematics
14,Female,ecology,Science
14,Female,climate,Science
14,Female,neuroscience,Nursing
14,Female,biotech,Nursing
14,Female,biomedical,Nursing
14,Female,microbiology,Nursing
14,Female,cellular,Nursing
14,Female,analytical,Chemical Engineering
14,Female,theoretical,Physics
14,Female,business,Business Management
14,Female,sports,Physical Education
14,Female,law,Legal Management
14,Female,psychology,Psychology
14,Female,education,Education
14,Female,engineering,Civil Engineering
15,Male,programming,Computer Science
15,Male,software,Computer Science
15,Male,web,Computer Science
15,Male,network,Computer Science
15,Male,cybersecurity,Computer Science
15,Male,data science,Computer Science
15,Male,machine learning,Computer Science
15,Male,cloud,Computer Science
15,Male,blockchain,Computer Science
15,Male,python,Computer Science
15,Male,java,Computer Science
15,Male,c++,Computer Science
15,Male,frontend,Computer Science
15,Male,backend,Computer Science
15,Male,DevOps,Computer Science
15,Male,UI/UX,Computer Science
15,Male,system,Computer Science
15,Male,database,Computer Science
15,Male,game,Computer Science
15,Male,full stack,Computer Science
15,Male,quantum,Computer Science
15,Male,painting,Fine Arts
15,Male,sculpture,Fine Arts
15,Male,digital art,Fine Arts
15,Male,graphic,Fine Arts
15,Male,photography,Fine Arts
15,Male,music,Fine Arts
15,Male,singing,Fine Arts
15,Male,instrumental,Fine Arts
15,Male,dance,Fine Arts
15,Male,theater,Fine Arts
15,Male,film,Fine Arts
15,Male,writing,Fine Arts
15,Male,animation,Fine Arts
15,Male,rap,Fine Arts
15,Male,performance,Fine Arts
15,Male,fashion,Fine Arts
15,Male,design,Fine Arts
15,Male,illustration,Fine Arts
15,Male,typography,Fine Arts
15,Male,jewelry,Fine Arts
15,Male,pottery,Fine Arts
15,Male,street art,Fine Arts
15,Male,biology,Nursing
15,Male,chemistry,Chemical Engineering
15,Male,physics,Physics
15,Male,math,Mathematics
15,Male,statistics,Mathematics
15,Male,environment,Science
15,Male,laboratory,Science
15,Male,medical,Nursing
15,Male,genetics,Nursing
15,Male,quantum mechanics,Physics
15,Male,geology,Science
15,Male,marine,Science
15,Male,molecular,Nursing
15,Male,organic,Chemical Engineering
15,Male,astrophysics,Physics
15,Male,calculus,Mathematics
15,Male,ecology,Science
15,Male,climate,Science
15,Male,neuroscience,Nursing
15,Male,biotech,Nursing
15,Male,biomedical,Nursing
15,Male,microbiology,Nursing
15,Male,cellular,Nursing
15,Male,analytical,Chemical Engineering
15,Male,theoretical,Physics
15,Male,business,Business Management
15,Male,sports,Physical Education
15,Male,law,Legal Management
15,Male,psychology,Psychology
15,Male,education,Education
15,Male,engineering,Civil Engineering
15,Female,programming,Computer Science
15,Female,software,Computer Science
15,Female,web,Computer Science
15,Female,network,Computer Science
15,Female,cybersecurity,Computer Science
15,Female,data science,Computer Science
15,Female,machine learning,Computer Science
15,Female,cloud,Computer Science
15,Female,blockchain,Computer Science
15,Female,python,Computer Science
15,Female,java,Computer Science
15,Female,c++,Computer Science
15,Female,frontend,Computer Science
15,Female,backend,Computer Science
15,Female,DevOps,Computer Science
15,Female,UI/UX,Computer Science
15,Female,system,Computer Science
15,Female,database,Computer Science
15,Female,game,Computer Science
15,Female,full stack,Computer Science
15,Female,quantum,Computer Science
15,Female,painting,Fine Arts
15,Female,sculpture,Fine Arts
15,Female,digital art,Fine Arts
15,Female,graphic,Fine Arts
15,Female,photography,Fine Arts
15,Female,music,Fine Arts
15,Female,singing,Fine Arts
15,Female,instrumental,Fine Arts
15,Female,dance,Fine Arts
15,Female,theater,Fine Arts
15,Female,film,Fine Arts
15,Female,writing,Fine Arts
15,Female,animation,Fine Arts
15,Female,rap,Fine Arts
15,Female,performance,Fine Arts
15,Female,fashion,Fine Arts
15,Female,design,Fine Arts
15,Female,illustration,Fine Arts
15,Female,typography,Fine Arts
15,Female,jewelry,Fine Arts
15,Female,pottery,Fine Arts
15,Female,street art,Fine Arts
15,Female,biology,Nursing
15,Female,chemistry,Chemical Engineering
15,Female,physics,Physics
15,Female,math,Mathematics
15,Female,statistics,Mathematics
15,Female,environment,Science
15,Female,laboratory,Science
15,Female,medical,Nursing
15,Female,genetics,Nursing
15,Female,quantum mechanics,Physics
15,Female,geology,Science
15,Female,marine,Science
15,Female,molecular,Nursing
15,Female,organic,Chemical Engineering
15,Female,astrophysics,Physics
15,Female,calculus,Mathematics
15,Female,ecology,Science
15,Female,climate,Science
15,Female,neuroscience,Nursing
15,Female,biotech,Nursing
15,Female,biomedical,Nursing
15,Female,microbiology,Nursing
15,Female,cellular,Nursing
15,Female,analytical,Chemical Engineering
15,Female,theoretical,Physics
15,Female,business,Business Management
15,Female,sports,Physical Education
15,Female,law,Legal Management
15,Female,psychology,Psychology
15,Female,education,Education
15,Female,engineering,Civil Engineering
16,Male,programming,Computer Science
16,Male,software,Computer Science
16,Male,web,Computer Science
16,Male,network,Computer Science
16,Male,cybersecurity,Computer Science
16,Male,data science,Computer Science
16,Male,machine learning,Computer Science
16,Male,cloud,Computer Science
16,Male,blockchain,Computer Science
16,Male,python,Computer Science
16,Male,java,Computer Science
16,Male,c++,Computer Science
16,Male,frontend,Computer Science
16,Male,backend,Computer Science
16,Male,DevOps,Computer Science
16,Male,UI/UX,Computer Science
16,Male,system,Computer Science
16,Male,database,Computer Science
16,Male,game,Computer Science
16,Male,full stack,Computer Science
16,Male,quantum,Computer Science
16,Male,painting,Fine Arts
16,Male,sculpture,Fine Arts
16,Male,digital art,Fine Arts
16,Male,graphic,Fine Arts
16,Male,photography,Fine Arts
16,Male,music,Fine Arts
16,Male,singing,Fine Arts
16,Male,instrumental,Fine Arts
16,Male,dance,Fine Arts
16,Male,theater,Fine Arts
16,Male,film,Fine Arts
16,Male,writing,Fine Arts
16,Male,animation,Fine Arts
16,Male,rap,Fine Arts
16,Male,performance,Fine Arts
16,Male,fashion,Fine Arts
16,Male,design,Fine Arts
16,Male,illustration,Fine Arts
16,Male,typography,Fine Arts
16,Male,jewelry,Fine Arts
16,Male,pottery,Fine Arts
16,Male,street art,Fine Arts
16,Male,biology,Nursing
16,Male,chemistry,Chemical Engineering
16,Male,physics,Physics
16,Male,math,Mathematics
16,Male,statistics,Mathematics
16,Male,environment,Science
16,Male,laboratory,Science
16,Male,medical,Nursing
16,Male,genetics,Nursing
16,Male,quantum mechanics,Physics
16,Male,geology,Science
16,Male,marine,Science
16,Male,molecular,Nursing
16,Male,organic,Chemical Engineering
16,Male,astrophysics,Physics
16,Male,calculus,Mathematics
16,Male,ecology,Science
16,Male,climate,Science
16,Male,neuroscience,Nursing
16,Male,biotech,Nursing
16,Male,biomedical,Nursing
16,Male,microbiology,Nursing
16,Male,cellular,Nursing
16,Male,analytical,Chemical Engineering
16,Male,theoretical,Physics
16,Male,business,Business Management
16,Male,sports,Physical Education
16,Male,law,Legal Management
16,Male,psychology,Psychology
16,Male,education,Education
16,Male,engineering,Civil Engineering
16,Female,programming,Computer Science
16,Female,software,Computer Science
16,Female,web,Computer Science
16,Female,network,Computer Science
16,Female,cybersecurity,Computer Science
16,Female,data science,Computer Science
16,Female,machine learning,Computer Science
16,Female,cloud,Computer Science
16,Female,blockchain,Computer Science
16,Female,python,Computer Science
16,Female,java,Computer Science
16,Female,c++,Computer Science
16,Female,frontend,Computer Science
16,Female,backend,Computer Science
16,Female,DevOps,Computer Science
16,Female,UI/UX,Computer Science
16,Female,system,Computer Science
16,Female,database,Computer Science
16,Female,game,Computer Science
16,Female,full stack,Computer Science
16,Female,quantum,Computer Science
16,Female,painting,Fine Arts
16,Female,sculpture,Fine Arts
16,Female,digital art,Fine Arts
16,Female,graphic,Fine Arts
16,Female,photography,Fine Arts
16,Female,music,Fine Arts
16,Female,singing,Fine Arts
16,Female,instrumental,Fine Arts
16,Female,dance,Fine Arts
16,Female,theater,Fine Arts
16,Female,film,Fine Arts
16,Female,writing,Fine Arts
16,Female,animation,Fine Arts
16,Female,rap,Fine Arts
16,Female,performance,Fine Arts
16,Female,fashion,Fine Arts
16,Female,design,Fine Arts
16,Female,illustration,Fine Arts
16,Female,typography,Fine Arts
16,Female,jewelry,Fine Arts
16,Female,pottery,Fine Arts
16,Female,street art,Fine Arts
16,Female,biology,Nursing
16,Female,chemistry,Chemical Engineering
16,Female,physics,Physics
16,Female,math,Mathematics
16,Female,statistics,Mathematics
16,Female,environment,Science
16,Female,laboratory,Science
16,Female,medical,Nursing
16,Female,genetics,Nursing
16,Female,quantum mechanics,Physics
16,Female,geology,Science
16,Female,marine,Science
16,Female,molecular,Nursing
16,Female,organic,Chemical Engineering
16,Female,astrophysics,Physics
16,Female,calculus,Mathematics
16,Female,ecology,Science
16,Female,climate,Science
16,Female,neuroscience,Nursing
16,Female,biotech,Nursing
16,Female,biomedical,Nursing
16,Female,microbiology,Nursing
16,Female,cellular,Nursing
16,Female,analytical,Chemical Engineering
16,Female,theoretical,Physics
16,Female,business,Business Management
16,Female,sports,Physical Education
16,Female,law,Legal Management
16,Female,psychology,Psychology
16,Female,education,Education
16,Female,engineering,Civil Engineering
17,Male,programming,Computer Science
17,Male,software,Computer Science
17,Male,web,Computer Science
17,Male,network,Computer Science
17,Male,cybersecurity,Computer Science
17,Male,data science,Computer Science
17,Male,machine learning,Computer Science
17,Male,cloud,Computer Science
17,Male,blockchain,Computer Science
17,Male,python,Computer Science
17,Male,java,Computer Science
17,Male,c++,Computer Science
17,Male,frontend,Computer Science
17,Male,backend,Computer Science
17,Male,DevOps,Computer Science
17,Male,UI/UX,Computer Science
17,Male,system,Computer Science
17,Male,database,Computer Science
17,Male,game,Computer Science
17,Male,full stack,Computer Science
17,Male,quantum,Computer Science
17,Male,painting,Fine Arts
17,Male,sculpture,Fine Arts
17,Male,digital art,Fine Arts
17,Male,graphic,Fine Arts
17,Male,photography,Fine Arts
17,Male,music,Fine Arts
17,Male,singing,Fine Arts
17,Male,instrumental,Fine Arts
17,Male,dance,Fine Arts
17,Male,theater,Fine Arts
17,Male,film,Fine Arts
17,Male,writing,Fine Arts
17,Male,animation,Fine Arts
17,Male,rap,Fine Arts
17,Male,performance,Fine Arts
17,Male,fashion,Fine Arts
17,Male,design,Fine Arts
17,Male,illustration,Fine Arts
17,Male,typography,Fine Arts
17,Male,jewelry,Fine Arts
17,Male,pottery,Fine Arts
17,Male,street art,Fine Arts
17,Male,biology,Nursing
17,Male,chemistry,Chemical Engineering
17,Male,physics,Physics
17,Male,math,Mathematics
17,Male,statistics,Mathematics
17,Male,environment,Science
17,Male,laboratory,Science
17,Male,medical,Nursing
17,Male,genetics,Nursing
17,Male,quantum mechanics,Physics
17,Male,geology,Science
17,Male,marine,Science
17,Male,molecular,Nursing
17,Male,organic,Chemical Engineering
17,Male,astrophysics,Physics
17,Male,calculus,Mathematics
17,Male,ecology,Science
17,Male,climate,Science
17,Male,neuroscience,Nursing
17,Male,biotech,Nursing
17,Male,biomedical,Nursing
17,Male,microbiology,Nursing
17,Male,cellular,Nursing
17,Male,analytical,Chemical Engineering
17,Male,theoretical,Physics
17,Male,business,Business Management
17,Male,sports,Physical Education
17,Male,law,Legal Management
17,Male,psychology,Psychology
17,Male,education,Education
17,Male,engineering,Civil Engineering
17,Female,programming,Computer Science
17,Female,software,Computer Science
17,Female,web,Computer Science
17,Female,network,Computer Science
17,Female,cybersecurity,Computer Science
17,Female,data science,Computer Science
17,Female,machine learning,Computer Science
17,Female,cloud,Computer Science
17,Female,blockchain,Computer Science
17,Female,python,Computer Science
17,Female,java,Computer Science
17,Female,c++,Computer Science
17,Female,frontend,Computer Science
17,Female,backend,Computer Science
17,Female,DevOps,Computer Science
17,Female,UI/UX,Computer Science
17,Female,system,Computer Science
17,Female,database,Computer Science
17,Female,game,Computer Science
17,Female,full stack,Computer Science
17,Female,quantum,Computer Science
17,Female,painting,Fine Arts
17,Female,sculpture,Fine Arts
17,Female,digital art,Fine Arts
17,Female,graphic,Fine Arts
17,Female,photography,Fine Arts
17,Female,music,Fine Arts
17,Female,singing,Fine Arts
17,Female,instrumental,Fine Arts
17,Female,dance,Fine Arts
17,Female,theater,Fine Arts
17,Female,film,Fine Arts
17,Female,writing,Fine Arts
17,Female,animation,Fine Arts
17,Female,rap,Fine Arts
17,Female,performance,Fine Arts
17,Female,fashion,Fine Arts
17,Female,design,Fine Arts
17,Female,illustration,Fine Arts
17,Female,typography,Fine Arts
17,Female,jewelry,Fine Arts
17,Female,pottery,Fine Arts
17,Female,street art,Fine Arts
17,Female,biology,Nursing
17,Female,chemistry,Chemical Engineering
17,Female,physics,Physics
17,Female,math,Mathematics
17,Female,statistics,Mathematics
17,Female,environment,Science
17,Female,laboratory,Science
17,Female,medical,Nursing
17,Female,genetics,Nursing
17,Female,quantum mechanics,Physics
17,Female,geology,Science
17,Female,marine,Science
17,Female,molecular,Nursing
17,Female,organic,Chemical Engineering
17,Female,astrophysics,Physics
17,Female,calculus,Mathematics
17,Female,ecology,Science
17,Female,climate,Science
17,Female,neuroscience,Nursing
17,Female,biotech,Nursing
17,Female,biomedical,Nursing
17,Female,microbiology,Nursing
17,Female,cellular,Nursing
17,Female,analytical,Chemical Engineering
17,Female,theoretical,Physics
17,Female,business,Business Management
17,Female,sports,Physical Education
17,Female,law,Legal Management
17,Female,psychology,Psychology
17,Female,education,Education
17,Female,engineering,Civil Engineering
18,Male,programming,Computer Science
18,Male,software,Computer Science
18,Male,web,Computer Science
18,Male,network,Computer Science
18,Male,cybersecurity,Computer Science
18,Male,data science,Computer Science
18,Male,machine learning,Computer Science
18,Male,cloud,Computer Science
18,Male,blockchain,Computer Science
18,Male,python,Computer Science
18,Male,java,Computer Science
18,Male,c++,Computer Science
18,Male,frontend,Computer Science
18,Male,backend,Computer Science
18,Male,DevOps,Computer Science
18,Male,UI/UX,Computer Science
18,Male,system,Computer Science
18,Male,database,Computer Science
18,Male,game,Computer Science
18,Male,full stack,Computer Science
18,Male,quantum,Computer Science
18,Male,painting,Fine Arts
18,Male,sculpture,Fine Arts
18,Male,digital art,Fine Arts
18,Male,graphic,Fine Arts
18,Male,photography,Fine Arts
18,Male,music,Fine Arts
18,Male,singing,Fine Arts
18,Male,instrumental,Fine Arts
18,Male,dance,Fine Arts
18,Male,theater,Fine Arts
18,Male,film,Fine Arts
18,Male,writing,Fine Arts
18,Male,animation,Fine Arts
18,Male,rap,Fine Arts
18,Male,performance,Fine Arts
18,Male,fashion,Fine Arts
18,Male,design,Fine Arts
18,Male,illustration,Fine Arts
18,Male,typography,Fine Arts
18,Male,jewelry,Fine Arts
18,Male,pottery,Fine Arts
18,Male,street art,Fine Arts
18,Male,biology,Nursing
18,Male,chemistry,Chemical Engineering
18,Male,physics,Physics
18,Male,math,Mathematics
18,Male,statistics,Mathematics
18,Male,environment,Science
18,Male,laboratory,Science
18,Male,medical,Nursing
18,Male,genetics,Nursing
18,Male,quantum mechanics,Physics
18,Male,geology,Science
18,Male,marine,Science
18,Male,molecular,Nursing
18,Male,organic,Chemical Engineering
18,Male,astrophysics,Physics
18,Male,calculus,Mathematics
18,Male,ecology,Science
18,Male,climate,Science
18,Male,neuroscience,Nursing
18,Male,biotech,Nursing
18,Male,biomedical,Nursing
18,Male,microbiology,Nursing
18,Male,cellular,Nursing
18,Male,analytical,Chemical Engineering
18,Male,theoretical,Physics
18,Male,business,Business Management
18,Male,sports,Physical Education
18,Male,law,Legal Management
18,Male,psychology,Psychology
18,Male,education,Education
18,Male,engineering,Civil Engineering
18,Female,programming,Computer Science
18,Female,software,Computer Science
18,Female,web,Computer Science
18,Female,network,Computer Science
18,Female,cybersecurity,Computer Science
18,Female,data science,Computer Science
18,Female,machine learning,Computer Science
18,Female,cloud,Computer Science
18,Female,blockchain,Computer Science
18,Female,python,Computer Science
18,Female,java,Computer Science
18,Female,c++,Computer Science
18,Female,frontend,Computer Science
18,Female,backend,Computer Science
18,Female,DevOps,Computer Science
18,Female,UI/UX,Computer Science
18,Female,system,Computer Science
18,Female,database,Computer Science
18,Female,game,Computer Science
18,Female,full stack,Computer Science
18,Female,quantum,Computer Science
18,Female,painting,Fine Arts
18,Female,sculpture,Fine Arts
18,Female,digital art,Fine Arts
18,Female,graphic,Fine Arts
18,Female,photography,Fine Arts
18,Female,music,Fine Arts
18,Female,singing,Fine Arts
18,Female,instrumental,Fine Arts
18,Female,dance,Fine Arts
18,Female,theater,Fine Arts
18,Female,film,Fine Arts
18,Female,writing,Fine Arts
18,Female,animation,Fine Arts
18,Female,rap,Fine Arts
18,Female,performance,Fine Arts
18,Female,fashion,Fine Arts
18,Female,design,Fine Arts
18,Female,illustration,Fine Arts
18,Female,typography,Fine Arts
18,Female,jewelry,Fine Arts
18,Female,pottery,Fine Arts
18,Female,street art,Fine Arts
18,Female,biology,Nursing
18,Female,chemistry,Chemical Engineering
18,Female,physics,Physics
18,Female,math,Mathematics
18,Female,statistics,Mathematics
18,Female,environment,Science
18,Female,laboratory,Science
18,Female,medical,Nursing
18,Female,genetics,Nursing
18,Female,quantum mechanics,Physics
18,Female,geology,Science
18,Female,marine,Science
18,Female,molecular,Nursing
18,Female,organic,Chemical Engineering
18,Female,astrophysics,Physics
18,Female,calculus,Mathematics
18,Female,ecology,Science
18,Female,climate,Science
18,Female,neuroscience,Nursing
18,Female,biotech,Nursing
18,Female,biomedical,Nursing
18,Female,microbiology,Nursing
18,Female,cellular,Nursing
18,Female,analytical,Chemical Engineering
18,Female,theoretical,Physics
18,Female,business,Business Management
18,Female,sports,Physical Education
18,Female,law,Legal Management
18,Female,psychology,Psychology
18,Female,education,Education
18,Female,engineering,Civil Engineering
19,Male,programming,Computer Science
19,Male,software,Computer Science
19,Male,web,Computer Science
19,Male,network,Computer Science
19,Male,cybersecurity,Computer Science
19,Male,data science,Computer Science
19,Male,machine learning,Computer Science
19,Male,cloud,Computer Science
19,Male,blockchain,Computer Science
19,Male,python,Computer Science
19,Male,java,Computer Science
19,Male,c++,Computer Science
19,Male,frontend,Computer Science
19,Male,backend,Computer Science
19,Male,DevOps,Computer Science
19,Male,UI/UX,Computer Science
19,Male,system,Computer Science
19,Male,database,Computer Science
19,Male,game,Computer Science
19,Male,full stack,Computer Science
19,Male,quantum,Computer Science
19,Male,painting,Fine Arts
19,Male,sculpture,Fine Arts
19,Male,digital art,Fine Arts
19,Male,graphic,Fine Arts
19,Male,photography,Fine Arts
19,Male,music,Fine Arts
19,Male,singing,Fine Arts
19,Male,instrumental,Fine Arts
19,Male,dance,Fine Arts
19,Male,theater,Fine Arts
19,Male,film,Fine Arts
19,Male,writing,Fine Arts
19,Male,animation,Fine Arts
19,Male,rap,Fine Arts
19,Male,performance,Fine Arts
19,Male,fashion,Fine Arts
19,Male,design,Fine Arts
19,Male,illustration,Fine Arts
19,Male,typography,Fine Arts
19,Male,jewelry,Fine Arts
19,Male,pottery,Fine Arts
19,Male,street art,Fine Arts
19,Male,biology,Nursing
19,Male,chemistry,Chemical Engineering
19,Male,physics,Physics
19,Male,math,Mathematics
19,Male,statistics,Mathematics
19,Male,environment,Science
19,Male,laboratory,Science
19,Male,medical,Nursing
19,Male,genetics,Nursing
19,Male,quantum mechanics,Physics
19,Male,geology,Science
19,Male,marine,Science
19,Male,molecular,Nursing
19,Male,organic,Chemical Engineering
19,Male,astrophysics,Physics
19,Male,calculus,Mathematics
19,Male,ecology,Science
19,Male,climate,Science
19,Male,neuroscience,Nursing
19,Male,biotech,Nursing
19,Male,biomedical,Nursing
19,Male,microbiology,Nursing
19,Male,cellular,Nursing
19,Male,analytical,Chemical Engineering
19,Male,theoretical,Physics
19,Male,business,Business Management
19,Male,sports,Physical Education
19,Male,law,Legal Management
19,Male,psychology,Psychology
19,Male,education,Education
19,Male,engineering,Civil Engineering
19,Female,programming,Computer Science
19,Female,software,Computer Science
